business_legal_name,license_type,license_designation,premise_city,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,business_website,business_dba_name,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_zip_code
"Backwoods Cultivation, Backwoods Farm","
SCLT0053
",Adult-Use,,133,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Backwoods Cultivation, Backwoods Farm",2023-04-25T08:24:42.203784,,,,,
"Sun Road Farms LLC, Sun Road Farms","
SCLT0094
",Adult-Use,,134,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Sun Road Farms LLC, Sun Road Farms",2023-04-25T08:24:42.203784,,,,,
High Noon Cultivators LLC,"
SCLT0082
",Adult-Use,,135,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,High Noon Cultivators LLC,2023-04-25T08:24:42.203784,,,,,
Montwood Hollow LLC,"
SCLT0066
",Adult-Use,,136,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Montwood Hollow LLC,2023-04-25T08:24:42.203784,,,,,
Last Minute Farm LLC,"
SCLT0047
",Adult-Use,,137,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Last Minute Farm LLC,2023-04-25T08:24:42.203784,,,,,
Big Budz LLC,"
SCLT0040
",Adult-Use,,138,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Big Budz LLC,2023-04-25T08:24:42.203784,,,,,
Cannamentals,"
SCLT0178
",Adult-Use,,139,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Cannamentals,2023-04-25T08:24:42.203784,,,,,
Teatime Herbal Company LLC,"
SCLT0095
",Adult-Use,,140,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Teatime Herbal Company LLC,2023-04-25T08:24:42.203784,,,,,
Green of Green Farms LLC,"
SCLT0092
",Adult-Use,,141,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Green of Green Farms LLC,2023-04-25T08:24:42.203784,,,,,
45 North Nurseries,"
SCLT0114
",Adult-Use,,142,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,45 North Nurseries,2023-04-25T08:24:42.203784,,,,,
Hidden Leaf Homestead,"
SCLT0083
",Adult-Use,,143,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Hidden Leaf Homestead,2023-04-25T08:24:42.203784,,,,,
Kendawg's Kingdom Cannabis,"
SCLT0157
",Adult-Use,,144,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Kendawg's Kingdom Cannabis,2023-04-25T08:24:42.203784,,,,,
One Love Cannabis Collective LLC,"
SCLT0101
",Adult-Use,,145,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,One Love Cannabis Collective LLC,2023-04-25T08:24:42.203784,,,,,
Meadow Creek Farm LLC,"
SCLT0074
",Adult-Use,,146,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Meadow Creek Farm LLC,2023-04-25T08:24:42.203784,,,,,
Three Barn Farm Cannabis,"
SCLT0159
",Adult-Use,,147,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Three Barn Farm Cannabis,2023-04-25T08:24:42.203784,,,,,
Goat Ridge Cannabis LLC,"
SCLT0081
",Adult-Use,,148,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Goat Ridge Cannabis LLC,2023-04-25T08:24:42.203784,,,,,
Burning Bush Farm,"
SCLT0177
",Adult-Use,,149,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Burning Bush Farm,2023-04-25T08:24:42.203784,,,,,
Fox and Hen Farms,"
SCLT0099
",Adult-Use,,150,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Fox and Hen Farms,2023-04-25T08:24:42.203784,,,,,
Moonlit Gardens,"
SCLT0164
",Adult-Use,,151,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Moonlit Gardens,2023-04-25T08:24:42.203784,,,,,
Vermont Green Buds LLC,"
SCLT0115
",Adult-Use,,152,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Vermont Green Buds LLC,2023-04-25T08:24:42.203784,,,,,
Green Mountain Gold Farm,"
SCLT0067
",Adult-Use,,153,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Green Mountain Gold Farm,2023-04-25T08:24:42.203784,,,,,
Lovespun Farmstead LLC,"
SCLT0150
",Adult-Use,,154,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Lovespun Farmstead LLC,2023-04-25T08:24:42.203784,,,,,
Brigham Hill Cultivation LLC,"
SCLT0117
",Adult-Use,,155,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Brigham Hill Cultivation LLC,2023-04-25T08:24:42.203784,,,,,
Cannabot Farms,"
SCLT0125
",Adult-Use,,156,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Cannabot Farms,2023-04-25T08:24:42.203784,,,,,
Far Away Farm LLC,"
SCLT0140
",Adult-Use,,157,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Far Away Farm LLC,2023-04-25T08:24:42.203784,,,,,
Double Black Grow Company,"
SCLT0122
",Adult-Use,,158,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Double Black Grow Company,2023-04-25T08:24:42.203784,,,,,
American Beauty,"
SCLT0154
",Adult-Use,,159,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,American Beauty,2023-04-25T08:24:42.203784,,,,,
Horseshoe Farms LLC,"
SCLT0139
",Adult-Use,,160,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Horseshoe Farms LLC,2023-04-25T08:24:42.203784,,,,,
Casa Guarne Farms LLC,"
SCLT0206
",Adult-Use,,161,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Casa Guarne Farms LLC,2023-04-25T08:24:42.203784,,,,,
Vermont New Heirloom Genetics LLC,"
SCLT0144
",Adult-Use,,162,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Vermont New Heirloom Genetics LLC,2023-04-25T08:24:42.203784,,,,,
"Tilia Hills, Tilia Hills Farm, Tilia Hills LLC","
SCLT0167
",Adult-Use,,163,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Tilia Hills, Tilia Hills Farm, Tilia Hills LLC",2023-04-25T08:24:42.203784,,,,,
"Red Clover Canopies, Inc.","
SCLT0123
",Adult-Use,,164,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Red Clover Canopies, Inc.",2023-04-25T08:24:42.203784,,,,,
Cremation Solutions LLC DBA Vermont Pot,"
SCLT0148
",Adult-Use,,165,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Cremation Solutions LLC DBA Vermont Pot,2023-04-25T08:24:42.203784,,,,,
"OnlyinVT LLC, OnlyinVT, Only in VT","
SCLT0165
",Adult-Use,,166,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"OnlyinVT LLC, OnlyinVT, Only in VT",2023-04-25T08:24:42.203784,,,,,
Taconic Chronic LLC,"
SCLT0190
",Adult-Use,,167,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Taconic Chronic LLC,2023-04-25T08:24:42.203784,,,,,
Mountain Grown Hemp LLC,"
SCLT0179
",Adult-Use,,168,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Mountain Grown Hemp LLC,2023-04-25T08:24:42.203784,,,,,
Blue Anchor Enterprise,"
SCLT0197
",Adult-Use,,169,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Blue Anchor Enterprise,2023-04-25T08:24:42.203784,,,,,
Superkind Farms,"
SCLT0209
",Adult-Use,,170,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Superkind Farms,2023-04-25T08:24:42.203784,,,,,
"River Valley Group, Inc Product Brand: Paradise Farms","
SCLT0215
",Adult-Use,,171,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"River Valley Group, Inc Product Brand: Paradise Farms",2023-04-25T08:24:42.203784,,,,,
