license_number,id,business_dba_name,license_type,license_status,address,business_legal_name,business_owner_name,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,issue_date,expiration_date,premise_city,premise_zip_code,business_email,business_image_url,data_refreshed_date
15393,1037289,MAJESTIC GARDENS LLC,Retail Marijuana Store,Active-Operating,"12656 Kenai Spur Hwy, Kenai, AK 99611, UNITED STATES",MAJESTIC GARDENS LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Kenai,99611,,,2024-03-24T22:01:20.007861
15788,1062162,SCORPION GRASS,Retail Marijuana Store,Active-Operating,"266 S. McCallister Dr., Suite 1, Wasilla, AK 99654, UNITED STATES",SCORPION GRASS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Wasilla,,,2024-03-24T22:01:20.007861
15814,1033939,"TANANA HERB COMPANY, LLC",Retail Marijuana Store,Active-Operating,"1200 Well Street, Fairbanks, AK 99701, UNITED STATES","TANANA HERB COMPANY, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,,,2024-03-24T22:01:20.007861
15916,2099269,K Beach Reef,Retail Marijuana Store,Active-Operating,"42106 Kalifornsky Beach Road, (Log cabin on SE portion nearest highway), Soldotna, AK 99669, UNITED STATES",K Beach Reef,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,(Log cabin on SE portion nearest highway),Soldotna,,,2024-03-24T22:01:20.007861
16184,1063483,THEE TREASURE CHEST LLC.,Retail Marijuana Store,Active-Operating,"1000 Water St., Craig, AK 99921, UNITED STATES",THEE TREASURE CHEST LLC.,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Craig,99921,,,2024-03-24T22:01:20.007861
16213,1063457,ALASKAN KUSH COMPANY,Retail Marijuana Store,Active-Operating,"159 S Franklin St, Juneau, AK 99801, UNITED STATES",ALASKAN KUSH COMPANY,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Juneau,99801,,,2024-03-24T22:01:20.007861
16529,1065154,GOOD BUDS LLC,Retail Marijuana Store,Active-Operating,"11770 Seward highway Suite 2, Seward, AK 99664, UNITED STATES",GOOD BUDS LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Seward,99664,,,2024-03-24T22:01:20.007861
16579,1040267,GRASS STATION 49,Retail Marijuana Store,Active-Pending Inspection,"2502 Parks Highway, Fairbanks, AK 99709, UNITED STATES",GRASS STATION 49,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99709,,,2024-03-24T22:01:20.007861
16610,1065429,GREAT NORTHERN CANNABIS,Retail Marijuana Store,Active-Operating,"1901 W. Dimond Blvd., Anchorage, AK 99515, UNITED STATES",GREAT NORTHERN CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99515,,,2024-03-24T22:01:20.007861
16915,1066517,BRISTOL BAY BUD COMPANY,Retail Marijuana Store,Active-Operating,"233 Airport Road, Dillingham, AK 99576, UNITED STATES",BRISTOL BAY BUD COMPANY,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Dillingham,99576,,,2024-03-24T22:01:20.007861
17068,1067444,OUTPOST,Retail Marijuana Store,Active-Operating,"1044 S. Old Glenn Hwy (Cabin), Palmer, AK 99645, UNITED STATES",OUTPOST,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Palmer,99645,,,2024-03-24T22:01:20.007861
17077,1040267,GRASS STATION 49,Retail Marijuana Store,Active-Operating,"223 Front Street, Suite B., Nome, AK 99762, UNITED STATES",GRASS STATION 49,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite B.,Nome,,,2024-03-24T22:01:20.007861
